scene,objective,predictor,target,seed,lr,FP,outside,n_eval,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d2.0,position+conf,cnn_large,mixed,1002,0.01,0.2916666666666667,0.7083333333333334,96,-0.35351723432540894,0.0005555224753931123,nan,0.0014957189559936523,0.9771765641767716,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1003,0.01,0.3020833333333333,0.6979166666666666,96,-0.3161497116088867,0.0006910963307183117,nan,0.0010492801666259766,0.9773647060591544,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1004,0.01,0.3125,0.6875,96,-0.36764761805534363,0.0007033176629729065,nan,0.001287221908569336,0.9768271353555016,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1005,0.01,0.0,1.0,96,0.5181101560592651,1.2591692683578375,nan,0.0003466606140136719,0.0,True,True
fronto_d2.0,position+conf,cnn_large,mixed,1006,0.01,0.28125,0.71875,96,-0.5576322674751282,0.0006552321201312865,nan,0.005987882614135742,0.9772030514266645,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1007,0.01,0.28125,0.71875,96,-0.3593693673610687,0.0023375999890852344,nan,0.005041360855102539,0.9761936215753596,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1008,0.01,0.2708333333333333,0.7291666666666666,96,-0.3898390233516693,0.00043756311549706745,nan,0.0016987323760986328,0.9772746748406721,False,False
fronto_d2.0,position+conf,cnn_large,mixed,1009,0.01,0.28125,0.71875,96,-0.20892709493637085,0.0007615390210589379,nan,0.0016341209411621094,0.9777728251034842,False,False
fronto_d2.0,position+conf_noclip,free,clean,1000,0.05,0.0,1.0,96,-0.5157188773155212,3.902721521532986e-06,nan,0.00037598609924316406,0.9826324055447238,False,False
fronto_d2.0,position+conf_noclip,free,clean,1001,0.05,0.0,1.0,96,-0.5148797631263733,3.902721521532986e-06,nan,0.0006306171417236328,0.9811249398138275,False,False
fronto_d2.0,position+conf_noclip,free,clean,1002,0.05,0.0,1.0,96,-0.5152798295021057,3.902721521532986e-06,nan,0.0006306171417236328,0.9816346076425045,False,False
fronto_d2.0,position+conf_noclip,free,clean,1003,0.05,0.0,1.0,96,-0.5163922309875488,3.902721521532986e-06,nan,0.0006306171417236328,0.982755093238296,False,False
fronto_d2.0,position+conf_noclip,free,clean,1004,0.05,0.0,1.0,96,-0.5148620009422302,3.902721521532986e-06,nan,0.0006306171417236328,0.9825091969854266,False,False
fronto_d2.0,position+conf_noclip,free,clean,1005,0.05,0.0,1.0,96,-0.5151263475418091,3.902721521532986e-06,nan,0.0006306171417236328,0.9832414456086381,False,False
fronto_d2.0,position+conf_noclip,free,clean,1006,0.05,0.0,1.0,96,-0.5161012411117554,3.902721521532986e-06,nan,0.00037598609924316406,0.9825092463572875,False,False
fronto_d2.0,position+conf_noclip,free,clean,1007,0.05,0.0,1.0,96,-0.5164364576339722,3.902721521532986e-06,nan,0.0002129077911376953,0.9829991929684022,False,False
fronto_d2.0,position+conf_noclip,free,clean,1008,0.05,0.0,1.0,96,-0.5158548951148987,3.902721521532986e-06,nan,0.0006306171417236328,0.9820121283827639,False,False
fronto_d2.0,position+conf_noclip,free,clean,1009,0.05,0.0,1.0,96,-0.5153815150260925,3.902721521532986e-06,nan,0.0006306171417236328,0.9820121067260259,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1000,0.05,0.3020833333333333,0.6979166666666666,96,-0.5083937048912048,3.902721521532986e-06,nan,0.0004589557647705078,0.9778066783283867,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1001,0.05,0.2916666666666667,0.7083333333333334,96,-0.5070163011550903,3.902721521532986e-06,nan,0.0007605552673339844,0.9761413025054572,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1002,0.05,0.2916666666666667,0.7083333333333334,96,-0.5080896019935608,3.902721521532986e-06,nan,0.0007625818252563477,0.976767761766986,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1003,0.05,0.2916666666666667,0.7083333333333334,96,-0.5083934664726257,3.902721521532986e-06,nan,0.0009741783142089844,0.9778497961714848,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1004,0.05,0.2916666666666667,0.7083333333333334,96,-0.5070708394050598,3.902721521532986e-06,nan,0.0009593963623046875,0.9776082528222556,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1005,0.05,0.3020833333333333,0.6979166666666666,96,-0.5072176456451416,3.902721521532986e-06,nan,0.0010023117065429688,0.9783681627770447,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1006,0.05,0.2916666666666667,0.7083333333333334,96,-0.5088608860969543,3.902721521532986e-06,nan,0.00043523311614990234,0.9776296714654201,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1007,0.05,0.2916666666666667,0.7083333333333334,96,-0.5090084075927734,3.902721521532986e-06,nan,0.000985860824584961,0.978203297829225,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1008,0.05,0.2916666666666667,0.7083333333333334,96,-0.5083978176116943,3.902721521532986e-06,nan,0.0007003545761108398,0.9770758011346523,False,False
fronto_d2.0,position+conf_noclip,free,mixed,1009,0.05,0.2916666666666667,0.7083333333333334,96,-0.507792055606842,3.902721521532986e-06,nan,0.0008733272552490234,0.9770757360996943,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1000,0.01,0.0625,0.9375,96,-0.2674019932746887,0.0001119887326596184,nan,0.0012161731719970703,0.981144314375911,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1001,0.01,0.041666666666666664,0.9583333333333334,96,-0.2798786461353302,7.558733656371809e-05,nan,0.0056656599044799805,0.9814159375536242,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1002,0.01,0.09375,0.90625,96,-0.25613632798194885,0.00011616327027321159,nan,0.001984238624572754,0.9803187988978779,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1003,0.01,0.08333333333333333,0.9166666666666666,96,-0.26968541741371155,4.2583807272032955e-05,nan,0.003221750259399414,0.9802713494758394,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1004,0.01,0.052083333333333336,0.9479166666666666,96,-0.26041051745414734,0.00019100886603057158,nan,0.005042910575866699,0.9814325858354894,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1005,0.01,0.10416666666666667,0.8958333333333334,96,-0.2566912770271301,0.0003699156449600983,nan,0.0009418725967407227,0.9801941347776848,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1006,0.01,0.0,1.0,96,0.11001012474298477,1.2591692683578375,nan,3.814697265625e-06,0.0,True,True
fronto_d2.0,position+conf_noclip,cnn_small,clean,1007,0.01,0.0625,0.9375,96,-0.2533900737762451,3.6734194693942864e-05,nan,0.010264277458190918,0.9811103197566313,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1008,0.01,0.15625,0.84375,96,-0.22580040991306305,0.00013319426918642104,nan,0.001276850700378418,0.9786608877694224,False,False
fronto_d2.0,position+conf_noclip,cnn_small,clean,1009,0.01,0.07291666666666667,0.9270833333333334,96,-0.27887848019599915,3.303389920469303e-05,nan,0.0016436576843261719,0.9807128504197297,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1000,0.01,0.28125,0.71875,96,-0.27712032198905945,0.00012710773109309064,nan,0.0006604194641113281,0.9778040109875806,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1001,0.01,0.2708333333333333,0.7291666666666666,96,-0.2855300009250641,1.2819501431611579e-05,nan,0.001202225685119629,0.9778026957502957,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1002,0.01,0.2708333333333333,0.7291666666666666,96,-0.2540234923362732,0.00026919703237124966,nan,0.002173900604248047,0.9776996434759234,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1003,0.01,0.2708333333333333,0.7291666666666666,96,-0.2789137661457062,4.337201802029455e-05,nan,0.0010319948196411133,0.9776057411509597,False,False
