scene,objective,predictor,target,seed,lr,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d1.0,position_squared,cnn_small,mixed,900,0.003,1.5785954019520432e-05,0.00026439510834016123,nan,3.0279159545898438e-05,0.4888678352639195,False,False
fronto_d1.0,position_squared,cnn_small,mixed,900,0.001,1.5334015188273042e-05,0.0003587485250329194,nan,5.53131103515625e-05,0.48885565214801224,False,False
fronto_d1.0,position_squared,cnn_small,mixed,900,0.0003,1.896413778013084e-05,0.0003126784744573627,nan,4.5299530029296875e-05,0.48884619217308406,False,False
fronto_d1.0,position_squared,cnn_small,mixed,901,0.01,8.26867290015798e-06,0.00013349776671537532,nan,6.723403930664062e-05,0.4888623651226826,False,False
fronto_d1.0,position_squared,cnn_small,mixed,901,0.003,9.157967724604532e-06,8.383358830902992e-05,nan,3.075599670410156e-05,0.48888015499387455,False,False
fronto_d1.0,position_squared,cnn_small,mixed,901,0.001,1.0794602530950215e-05,0.00014033089441651612,nan,1.9550323486328125e-05,0.4888657488914825,False,False
fronto_d1.0,position_squared,cnn_small,mixed,901,0.0003,1.2358412277535535e-05,8.038622927059844e-05,nan,7.033348083496094e-05,0.48884156379076227,False,False
fronto_d1.0,position_squared,cnn_large,clean,900,0.01,0.00017714351997710764,0.0009091046415464456,nan,0.0016639232635498047,0.49113945880922893,False,False
fronto_d1.0,position_squared,cnn_large,clean,900,0.003,7.654340151930228e-05,0.0012690656032600925,nan,0.0017886161804199219,0.4912687972332021,False,False
fronto_d1.0,position_squared,cnn_large,clean,900,0.001,0.00015738063666503876,0.0013322031753956812,nan,0.001390695571899414,0.49105175346981755,False,False
fronto_d1.0,position_squared,cnn_large,clean,900,0.0003,0.0010685313027352095,0.0030576113886291913,nan,0.003052949905395508,0.4897480417146385,False,False
fronto_d1.0,position_squared,cnn_large,clean,901,0.01,0.00023608225455973297,0.002681831246234705,nan,0.0023298263549804688,0.49105507606933463,False,False
fronto_d1.0,position_squared,cnn_large,clean,901,0.003,0.00021058370475657284,0.001232849498761543,nan,0.0011875629425048828,0.4910946499182804,False,False
