rank,scene,frame,boundary_reduction
219,scene_d78_ego2,01356,-0.00002
220,scene_d78_3rd,01034,-0.00003
221,scene_d78_ego2,02378,-0.00003
222,egobody_3rd,00202,-0.00005
223,scene_recording_20210910_S05_S06_0_ego1,02986,-0.00005
224,scene_d78_3rd,00960,-0.00006
225,scene_recording_20210910_S05_S06_0_ego1,00842,-0.00013
226,scene_d78_ego1,01726,-0.00025
227,ani10_new_f,00588,-0.00027
228,scene_d78_ego2,02390,-0.00027
229,ani1_new_f,00988,-0.00030
230,ani16_new_,01506,-0.00030
231,scene_d78_3rd,02586,-0.00031
232,scene_recording_20210910_S05_S06_0_ego1,01124,-0.00032
233,scene_d78_ego1,02558,-0.00040
234,scene_d78_ego1,02162,-0.00040
235,scene_recording_20210910_S05_S06_0_ego1,01324,-0.00043
236,ani10_new_f,00596,-0.00050
237,scene_d78_ego1,01700,-0.00050
238,scene_d78_ego1,03098,-0.00052
239,scene_recording_20210910_S05_S06_0_ego1,00646,-0.00064
240,egobody_3rd,00068,-0.00064
241,cnb_dlab_0215_ego2,02588,-0.00069
242,scene_d78_3rd,00004,-0.00073
243,scene_d78_ego2,03018,-0.00074
244,ani1_new_,00140,-0.00079
245,ani10_new_f,00570,-0.00079
246,scene_d78_ego2,01642,-0.00081
247,ani16_new_,01196,-0.00092
248,scene_recording_20210910_S05_S06_0_ego1,01256,-0.00093
249,ani10_new_f,00548,-0.00094
250,egobody_3rd,00198,-0.00097
251,scene_recording_20210910_S05_S06_0_ego1,01668,-0.00097
252,scene_d78_ego1,01942,-0.00100
253,scene_d78_3rd,02404,-0.00109
254,r1_new_,00822,-0.00111
255,scene_d78_ego2,02330,-0.00113
256,ani16_new_,01408,-0.00115
257,cnb_dlab_0225_ego2,02056,-0.00144
258,scene_d78_ego2,02052,-0.00147
259,scene_d78_3rd,02064,-0.00149
260,egobody_3rd,00012,-0.00153
261,cnb_dlab_0215_ego2,01746,-0.00160
262,scene_d78_ego2,02882,-0.00172
263,scene_d78_ego2,01458,-0.00187
264,scene_d78_3rd,01264,-0.00189
265,cnb_dlab_0215_ego2,00058,-0.00193
266,cnb_dlab_0225_ego2,02226,-0.00198
267,scene_d78_ego2,03466,-0.00215
268,scene_d78_3rd,00026,-0.00217
269,scene_d78_3rd,02618,-0.00218
270,scene_d78_ego1,02204,-0.00220
271,scene_d78_3rd,01268,-0.00223
272,ani10_new_f,00678,-0.00223
273,scene_recording_20210910_S05_S06_0_ego1,01268,-0.00227
274,cnb_dlab_0215_ego2,00866,-0.00230
275,cnb_dlab_0215_ego2,00626,-0.00231
276,cnb_dlab_0225_ego2,01574,-0.00235
277,scene_d78_ego2,00436,-0.00237
278,scene_d78_3rd,02746,-0.00239
279,cnb_dlab_0215_ego2,02550,-0.00254
280,scene_d78_ego2,03134,-0.00276
281,scene_recording_20210910_S05_S06_0_ego1,02022,-0.00280
282,cnb_dlab_0215_ego2,00720,-0.00281
283,scene_d78_ego2,02298,-0.00290
284,cnb_dlab_0215_ego2,02736,-0.00295
285,scene_d78_3rd,01342,-0.00297
286,scene_d78_3rd,02238,-0.00300
287,cnb_dlab_0225_ego2,02030,-0.00301
288,ani14_new_f,00272,-0.00309
289,cnb_dlab_0215_ego2,00562,-0.00312
290,scene_d78_ego2,03674,-0.00319
291,cnb_dlab_0225_ego2,00676,-0.00324
292,scene_d78_ego2,02780,-0.00346
293,scene_d78_ego2,02810,-0.00349
294,r1_new_f,00944,-0.00366
295,scene_d78_ego2,00688,-0.00369
296,cnb_dlab_0225_ego2,00316,-0.00374
297,scene_d78_3rd,02488,-0.00377
298,cnb_dlab_0225_ego2,01668,-0.00384
299,cnb_dlab_0225_ego2,02232,-0.00386
300,scene_d78_3rd,01284,-0.00397
301,ani1_new_f,00272,-0.00408
302,r1_new_,00538,-0.00425
303,r1_new_f,00170,-0.00440
304,cnb_dlab_0225_ego2,01386,-0.00441
305,scene_recording_20210910_S05_S06_0_ego1,02752,-0.00443
306,ani3_new_,01666,-0.00466
307,scene_d78_3rd,03322,-0.00469
308,cnb_dlab_0215_ego2,01828,-0.00500
309,r1_new_,00450,-0.00500
310,scene_d78_3rd,01606,-0.00509
311,cnb_dlab_0225_ego2,02144,-0.00519
312,cnb_dlab_0215_ego2,00126,-0.00527
313,ani10_new_f,00190,-0.00529
314,r1_new_f,01002,-0.00543
315,scene_d78_ego1,01372,-0.00559
316,scene_d78_3rd,01600,-0.00576
317,scene_recording_20210910_S05_S06_0_ego1,02238,-0.00583
318,cnb_dlab_0215_ego2,00910,-0.00585
319,cnb_dlab_0215_ego2,03080,-0.00599
320,cnb_dlab_0215_ego2,03010,-0.00622
321,scene_d78_ego2,02080,-0.00632
322,ani3_new_,01254,-0.00639
323,scene_d78_ego2,03554,-0.00657
324,r1_new_f,00148,-0.00658
325,ani10_new_f,00184,-0.00658
326,cnb_dlab_0215_ego2,01532,-0.00671
327,r1_new_,00406,-0.00681
328,ani1_new_,00580,-0.00727
329,scene_d78_3rd,02712,-0.00729
330,cnb_dlab_0225_ego2,02330,-0.00738
331,scene_d78_ego1,00008,-0.00747
332,cnb_dlab_0215_ego2,03114,-0.00748
333,scene_recording_20210910_S05_S06_0_ego1,02976,-0.00750
334,cnb_dlab_0215_ego2,02072,-0.00753
335,r1_new_,01272,-0.00766
336,scene_d78_ego2,03768,-0.00771
337,scene_recording_20210910_S05_S06_0_ego1,02608,-0.00774
338,cnb_dlab_0215_ego2,00640,-0.00774
339,ani16_new_,00946,-0.00784
340,cnb_dlab_0215_ego2,01014,-0.00793
341,ani1_new_f,01322,-0.00802
342,scene_d78_3rd,03856,-0.00806
343,cnb_dlab_0215_ego2,01122,-0.00861
344,r1_new_,00188,-0.00862
345,scene_d78_3rd,03836,-0.00886
346,cnb_dlab_0215_ego2,01764,-0.00893
347,cnb_dlab_0215_ego2,00568,-0.00940
348,scene_recording_20210910_S05_S06_0_ego1,00136,-0.00958
349,r1_new_,01282,-0.00974
350,cnb_dlab_0215_ego2,01060,-0.00978
351,ani16_new_,01030,-0.00979
352,cnb_dlab_0215_ego2,01768,-0.01012
353,scene_d78_ego2,00538,-0.01037
354,ani3_new_,00918,-0.01042
355,r1_new_,00734,-0.01057
356,ani3_new_,00438,-0.01083
357,scene_d78_ego2,01098,-0.01107
358,ani10_new_f,00212,-0.01112
359,scene_d78_ego1,00032,-0.01143
360,r1_new_f,00000,-0.01160
361,cnb_dlab_0215_ego2,01304,-0.01160
362,scene_d78_3rd,02444,-0.01165
363,cnb_dlab_0215_ego2,00142,-0.01177
364,cnb_dlab_0215_ego2,02848,-0.01214
365,r1_new_,00042,-0.01231
366,cnb_dlab_0215_ego2,02850,-0.01267
367,ani10_new_f,00406,-0.01295
368,cnb_dlab_0215_ego2,02010,-0.01321
369,scene_d78_3rd,02468,-0.01336
370,ani16_new_,00578,-0.01378
371,cnb_dlab_0225_ego2,02506,-0.01440
372,cnb_dlab_0215_ego2,01144,-0.01469
373,r1_new_,00966,-0.01482
374,cnb_dlab_0215_ego2,01946,-0.01513
375,cnb_dlab_0215_ego2,01256,-0.01559
376,r1_new_,00968,-0.01631
377,cnb_dlab_0215_ego2,02216,-0.01707
378,cnb_dlab_0215_ego2,01130,-0.01725
379,ani10_new_f,00388,-0.01901
380,cnb_dlab_0215_ego2,00200,-0.01948
381,scene_d78_ego1,00012,-0.02041
382,ani16_new_,00544,-0.02079
383,ani14_new_f,01220,-0.02115
384,ani10_new_f,00332,-0.02251
385,scene_d78_ego2,02104,-0.02309
386,ani3_new_,01874,-0.02457
387,ani3_new_,01580,-0.02462
388,ani3_new_,01890,-0.02622
389,ani1_new_,01106,-0.02748
390,r1_new_,00984,-0.03009
391,scene_d78_3rd,03576,-0.03596
392,ani3_new_,01800,-0.04006
393,ani3_new_,01376,-0.04105
394,ani10_new_f,00274,-0.04885
395,ani3_new_,01474,-0.05637
396,ani1_new_,00958,-0.05659
397,ani14_new_f,00528,-0.10892
398,ani1_new_f,01238,-0.12027
399,ani10_new_f,00106,-0.16054
